Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"CT-Mobile: Enhancing Computational Thinking via Android Graphic Design App.","Hakiki, Muhammad; Halomoan; Fadli, Radinal; Hidayah, Yayuk; Zunarti, Rita; Yanti, Vivi Yosefri","International Journal of Interactive Mobile Technologies",="18657923",,="2024","18","13","4","16","178433913","10.3991/ijim.v18i13.47711","International Journal of Interactive Mobile Technologies","Article","GRAPHIC design; DIGITAL technology; MOBILE apps; COGNITIVE development; TEST validity","android-based graphic design; computational thinking (CT); CT-mobile; development; mobile application","In the rapidly evolving digital age, the need for computational thinking (CT) skills is answered with the introduction of CT-Mobile, an innovative Android-based graphic design application. The app integrates basic computational concepts with graphic design principles, providing a unique platform for users to improve problem-solving, algorithmic thinking, and logical reasoning skills. This study used a research and development (R&D) approach with the 4-D Model (define, design, develop, and disseminate) as a guide. The validity test with experts categorized CT-Mobile as ""valid"" with values of 0.85 and 0.88 from media experts and material experts. The practicality of this application was rated as ""very practical"" by teachers (89.67%) and students (86.34%). These findings confirm the significant benefits of CT-Mobile in graphic design learning, both for educators and students. The analysis showed a positive impact on users' CT ability, reflected by improved problem-solving efficiency and a deeper understanding of algorithmic processes. This study provides valuable insights into the relationship between mobile application development, graphic design education, and the development of CT skills. CT-Mobile emerges as a promising tool to bridge technology, creativity, and cognitive skill development in the digital age. [ABSTRACT FROM AUTHOR] Copyright of International Journal of Interactive Mobile Technologies is the property of International Journal of Interactive Mobile Technologies and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=178433913&lang=es&site=ehost-live"
"Implementation of Project-Based Learning Computational Thinking Models in Mobile Programming Courses.","Ismael; Jalinus, Nizwardi; Putra, Rusnardi Rahmat","International Journal of Interactive Mobile Technologies",="18657923",,="2024","18","11","108","13","177815297","10.3991/ijim.v18i11.49097","International Journal of Interactive Mobile Technologies","Article","MOBILE learning; PROJECT method in teaching; PROBLEM-based learning; COGNITIVE testing; SOFT skills; EXPERIMENTAL groups","computational thinking (CT); control group; experimental group; problem-based learning (PBL)","This study focuses on investigating the integration of project-based learning with computational thinking (PjBL-CT) skills to enhance students' proficiency in learning mobile programming. The findings of the model provide an evaluation of cognitive aspects, affective aspects in the form of 4C soft skills, and psychomotor aspects. To measure the effectiveness of the model, we will test the differences in the quality of student learning outcomes between two groups: the control group and the experimental group. The cognitive test results showed a value of 80.85 for the experimental class and 73.21 for the control class. For the assessment of soft skill 4C, student creativity aspects are superior to other aspects. Whereas for aspects of enhancing the project's value, an important finding from the results obtained is the signifi- cant improvement in the quality of learning by incorporating computational thinking into the problem-based learning (PBL) model. [ABSTRACT FROM AUTHOR] Copyright of International Journal of Interactive Mobile Technologies is the property of International Journal of Interactive Mobile Technologies and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=177815297&lang=es&site=ehost-live"
"Situational judgment test measures administrator computational thinking with factor analysis.","Indrawati, Cicilia Dyah Sulistyaningrum; Permansah, Sigit; Ninghardjanti, Patni; Subarno, Anton; Winarno; Rusmana, Dede","International Journal of Electrical & Computer Engineering (2088-8708)",="20888708",,="Apr2024","14","2","2088","12","176773950","10.11591/ijece.v14i2.pp2088-2099","Institute of Advanced Engineering & Science","Article","FACTOR analysis; JUDGMENT (Psychology); PEARSON correlation (Statistics); EXPLORATORY factor analysis; DISCRIMINANT analysis; CRONBACH'S alpha","Administrator skills; Computational thinking skills; Exploratory factor analysis; Measurement instrument; Situational judgment test","Computational thinking skills (CTS) play a crucial role across diverse domains, involving a thinking process that allows the execution of solutions by information processing agents. Measuring the level of CTS becomes essential to ensure that administrators effectively leverage technology. However, finding suitable instruments to measure and justify CTS levels in administration can be challenging. The selection of situational judgement test (SJT) is supported by its validity and reliability in assessing attributes, including professionalism. The instrument's development includes face validity, discriminant validity (using Pearson correlation and Cronbach's alpha), and exploratory factor analysis (EFA). The study involved 111 undergraduate administration students from various Indonesian universities, and data were collected in 2023. Following a discriminant validity analysis, ten items were eliminated, while 23 met the criteria with p<0.050 and r>0.185. Subsequently, EFA yielded 16 items forming seven components, covering algorithmic thinking, problem-solving, technology literacy, problem abstraction, problem reformulation, data management in administration technology, and administrative data presentation with loading factor variations (0.421-0.868). The final instrument, consisting of 16 valid items and seven components, effectively evaluates the level of administrator computational thinking skills (ACTS) among administration students. [ABSTRACT FROM AUTHOR] Copyright of International Journal of Electrical & Computer Engineering (2088-8708) is the property of Institute of Advanced Engineering & Science and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=176773950&lang=es&site=ehost-live"
"Developing pre-service teachers' computational thinking: a systematic literature review.","Dong, Wei; Li, Yongjie; Sun, Lihui; Liu, Yiran","International Journal of Technology & Design Education",="09577572",,="Mar2024","34","1","191","37","175359123","10.1007/s10798-023-09811-3","Springer Nature","Article","COMPUTATIONAL learning theory; TEACHER development; TEACHING methods; TRAINING of student teachers; EDUCATION policy","Computational thinking; K-12; Pre-service teacher; Teacher training; Training methods","Recently, computational thinking (CT) has gained importance in education systems worldwide, specifically the CT training of pre-service teachers. This study conducted a systematic literature analysis (2011–2021) of 38 works on pre-service teachers' CT based on Web of Science, Science Direct, and Google Scholar databases. The results were as follows: (1) Six training methods were found, (2) CT training effectively improved pre-service teachers' CT, (3) A positive relationship was found between pre-service teachers' CT ability and the five factors affecting the ability, (4) A mode of training to improve CT ability of pre-service teachers and the relationship between CT ability and teaching methods were considered. This study suggested ideas for designing training modules of CT ability and a reference for realizing the best training effect. Finally, future research trends and a general model of training were presented as references for researchers, instructors, and policy makers to promote the CT of pre-service teachers. [ABSTRACT FROM AUTHOR] Copyright of International Journal of Technology & Design Education is the property of Springer Nature and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=175359123&lang=es&site=ehost-live"
"Predicting Robotics Pedagogical Content Knowledge: The Role of Computational and Design Thinking Dispositions via Teaching Beliefs.","Hsu, Chung-Yuan; Tsai, Meng-Jung","Journal of Educational Computing Research",="07356331",,="Sep2024","62","5","1159","23","179767119","10.1177/07356331241236882","Sage Publications Inc.","Article","CAREER development; PEDAGOGICAL content knowledge; TEACHING methods; STRUCTURAL equation modeling; STUDENT teachers; FACTOR structure","computational thinking; design thinking; robot; teaching belief; technological pedagogical content knowledge (TPACK)","This research aimed to investigate the structural relationships among teachers' computational thinking (CT), design thinking (DT), robotics teaching beliefs, and robotics pedagogical content knowledge (RPCK). A total of 98 in-service and pre-service teachers who participated in a robotics teaching professional development workshop served as the sample of the study. A survey including the Computational Thinking Scale, the Design Thinking Disposition Scale, the Robotics Teaching Beliefs Scale and the Technological Pedagogical Content Knowledge–Robotics Scale was conducted after the workshop. A confirmatory factor analysis was employed to validate the measurement constructs, and Partial Least Squares - Structural Equation Modeling (PLS-SEM) analysis was utilized to examine the relationships among the factors. The results revealed that both CT and DT dispositions could positively predict teachers' robotics teaching beliefs, which subsequently predicted their RPCK. Moreover, a direct positive relationship between CT and RPCK was identified, while such a relationship was not evident for DT. The model demonstrates the critical role of CT in shaping teachers' beliefs and pedagogical strategies of robotics teaching, and provides insights into the indirect influence of DT. Finally, the Model of Robotics Teaching Professional Development (MRTPD) was proposed to profile how to promote teachers' pedagogical content knowledge of robotics teaching from their CT and DT dispositions. [ABSTRACT FROM AUTHOR] Copyright of Journal of Educational Computing Research is the property of Sage Publications Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=179767119&lang=es&site=ehost-live"
"Empowering learners with AI‐generated content for programming learning and computational thinking: The lens of extended effective use theory.","Shanshan, Shang; Sen, Geng","Journal of Computer Assisted Learning",="02664909",,="Aug2024","40","4","1941","18","178531926","10.1111/jcal.12996","Wiley-Blackwell","Article","GENERATIVE artificial intelligence; SCALE analysis (Psychology); PEARSON correlation (Statistics); RESEARCH funding; CRONBACH'S alpha; SELF-efficacy; PROGRAMMING languages; EDUCATIONAL outcomes; QUESTIONNAIRES; CHI-squared test; EXPERIMENTAL design; ONE-way analysis of variance; LEARNING strategies; CONFIDENCE intervals","AI‐generated content; computational thinking; extended effective use theory; learning performance; programming learning","Background: Artificial intelligence–generated content (AIGC) has stepped into the spotlight with the emergence of ChatGPT, making effective use of AIGC for education a hot topic. Objectives: This study seeks to explore the effectiveness of integrating AIGC into programming learning through debugging. First, the study presents three levels of AIGC integration based on varying levels of abstraction. Then, drawing on extended effective use theory, the study proposes the underlying mechanism of how AIGC integration impacts programming learning performance and computational thinking. Methods: Three debugging interfaces integrated with AIGC by ChatGPT were developed for this study according to three levels of AIGC integration design. The study conducts a between‐subject experiment with one control group and three experimental groups. Analysis of covariance and a structural equation model are employed to examine the effects. Results and Conclusions: The results show that the second and third levels of abstraction in AIGC integration yield better learning performance and computational thinking, but the first level shows no difference compared to traditional debugging. The underlying mechanism suggests that the second and third levels of abstraction promote transparent interaction, which enhances representational fidelity and consequently impacts learning performance and computational thinking, as evidenced in test of the mechanism. Moreover, the study finds that learning fidelity weakens the effect of transparent interaction on representational fidelity. Our research offers valuable theoretical and practical insights. Lay Description: What is currently known about the subject matter?: In the present information era, programming and computational thinking are important.AIGC has attracted remarkable attention from both academics and managers.If it is appropriately utilised, AIGC can facilitate education. What this paper adds: Three forms of AIGC integration based on the level of abstraction, which enhance programming learning and computational thinking.Application of extended effective use theory to propose an underlying mechanism for how AIGC integration affects learning performance and computational thinking.Concrete information on the utilisation of AIGC in the education domain.Evidence that shows the importance of interaction transparency and representational fidelity for leveraging information technologies in education. Implications of the study findings for practitioners: AIGC can be an effective tool for teachers, learners, and institutions.Platform designers and teachers should carefully design AICG integration.Platform designers and teachers could make use of various methods and other forms of AIGC integration to promote interaction transparency. [ABSTRACT FROM AUTHOR] Copyright of Journal of Computer Assisted Learning is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=178531926&lang=es&site=ehost-live"
"Relationships Between Executive Functions and Computational Thinking.","Liu, Tongxi","Journal of Educational Computing Research",="07356331",,="Sep2024","62","5","1267","35","179767124","10.1177/07356331241242435","Sage Publications Inc.","Article","EXECUTIVE function; SCIENCE education; EVIDENCE gaps; STEM education; INSTRUCTIONAL systems design","computational thinking; data science in education; executive functions; relationships","Addressing cognitive disparities has become a paramount concern in computational thinking (CT) education. The intricate and nuanced relationships between CT and cognitive variations emphasize the needs to accommodate diverse cognitive profiles when fostering CT skills, recognizing that these cognitive functions can manifest as either strengths or limitations in different students. Consequently, understanding the connections between students' cognitive functions and CT skills assumes pivotal importance in the design of personalized instructional strategies for CT. Despite a general consideration of learning variability in CT education, empirical insights exploring the correlation between cognitive skills and CT competencies remain notably scarce. This study endeavors to bridge this research gap by investigating the links between executive functions and CT skills, as well as the associations between their sub-dimensions. The results reveal a statistically significant correlation coefficient of 0.452 between these two domains, underscoring the notable connection between executive functions and CT abilities. Furthermore, the sub-dimensional analysis offers a comprehensive understanding of how specific executive functions uniquely contribute to certain CT skills. In light of these findings, this research offers a promising pathway for the development of tailored CT education programs that can cater to the unique needs of each individual, ultimately facilitating inclusive CT programs and making significant contributions to broaden STEM education and future workforce. [ABSTRACT FROM AUTHOR] Copyright of Journal of Educational Computing Research is the property of Sage Publications Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=179767124&lang=es&site=ehost-live"
"Exploring Gender Differences in Computational Thinking Among K-12 Students: A Meta-Analysis Investigating Influential Factors.","Hu, Linlin","Journal of Educational Computing Research",="07356331",,="Sep2024","62","5","1358","27","179767123","10.1177/07356331241240670","Sage Publications Inc.","Article","GENDER differences (Sociology); GENDER inequality; EDUCATIONAL equalization; HIGH schools; FEMALES","computational thinking; gender differences; K-12; meta-analysis","This study employs meta-analysis to synthesize findings from 30 articles investigating gender differences in computational thinking (CT) among K-12 students. Encompassing 51 independent effect sizes, the meta-analysis involves a participant pool of 9181 individuals from various countries, comprising 4254 males and 4927 females. Results indicate statistically significant gender differences in CT (Hedges's g = 0.091, p <.05), albeit with a modest effect size, revealing higher CT scores among males compared to females. Further moderation analyses unveil the multifaceted nature of these gender differences. Specifically, while gender differences become significant during high school, recent studies suggest a gradual reduction in CT gender differences with societal progress among K-12 students. Moreover, findings illustrate variations in gender differences across geographical regions. Notably, while the overall gender disparity in CT is non-significant in the ""East Asia and Pacific"" region, it widens in ""North America"" and ""Europe"", with males scoring higher than females. Conversely, in ""Europe and Central Asia"", such gender differences present inconsistent outcomes, with females scoring higher than males. Importantly, assessment tool type does not significantly influence gender differences. Lastly, this study offers recommendations to address CT gender gaps, providing valuable insights for promoting gender equality in education. [ABSTRACT FROM AUTHOR] Copyright of Journal of Educational Computing Research is the property of Sage Publications Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=179767123&lang=es&site=ehost-live"
"Do 3–8 Years Old Children Benefit From Computational Thinking Development? A Meta-Analysis.","Wang, Xiaowen; Chan, Kan Kan; Li, Qianru; Leung, Shing On","Journal of Educational Computing Research",="07356331",,="Sep2024","62","5","1182","27","179767118","10.1177/07356331241236744","Sage Publications Inc.","Article","CHILD development; WEB databases; SCIENCE databases; EARLY childhood education; EMPIRICAL research","3–8 years old; computational thinking; large effect size; meta-analysis","The interest in Computational Thinking (CT) development among young learners increases with the number of studies located in literature. In this study, a meta-analysis was conducted to address two main objectives: (a) the effectiveness of empirical interventions on the development of CT in children aged of 3–8 years; and (b) the variables that influence the effectiveness of the interventions. Following PRISMA procedures, we identified 17 empirical studies with 34 effect sizes and 1665 participants meeting the inclusion criteria from Web of Science database. Overall, we found a statistically significant large effect size (d =.83 [95% CI: 730,.890]; p <.001) on the CT development of 3–8 years old children, which provides empirical support for having young children to engage in CT experiences. The effect size was significantly influenced by moderating variables including gender, scaffolding, and education level. Intervention length showed a marginally significant effect. Therefore, educators could refer to the significant moderators when designing tailored interventions for CT development in early childhood education while a call for more empirical studies of CT development in young children is proposed. [ABSTRACT FROM AUTHOR] Copyright of Journal of Educational Computing Research is the property of Sage Publications Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=179767118&lang=es&site=ehost-live"
"Fostering computational thinking with simulated 3D robots in secondary education.","Martín, Luis Castro‐San; Hijón‐Neira, Raquel; Pizarro, Celeste; Cañas, José M.","Computer Applications in Engineering Education",="10613773",,="Jul2024","32","4","1","19","178468770","10.1002/cae.22740","Wiley-Blackwell","Article","SECONDARY education; ROBOTS; ROBOT programming; PRACTICAL reason; RESEARCH questions; ROBOTICS; PROGRAMMING languages","3D simulated robots; computational thinking; e‐learning platforms; programming; robotics; Scratch; secondary education","Computational Thinking (CT) can be defined as the thought processes involved in formulating problems so that their solutions can be represented as sequential steps and algorithms. It is a key skill for children in the 21st century. However, it is unclear how CT can be developed most effectively in children. Several pedagogical methodologies have been proposed and are being investigated. The main aim of this paper is to test the hypothesis which states that using three‐dimensional (3D) simulated robots helps in the learning of programming and CT concepts, such as directions, loops, conditionals, and functions. The research questions are: Does this hypothesis hold true? Are some concepts easier or better learned than others and to what extent? The goal is to measure and evaluate the effect of using as a learning tool a platform with 3D simulated robots and realistic physics, and compare it with the standard Scratch learning tool which does not use robotics but a two‐dimensional (2D) cartoon avatar they are already familiar with. For practical reasons, a quasiexperimental design with nonequivalent groups and 85 second‐year Secondary Education students (ages 12–13) was performed. They were separated into control and experimental groups and followed a seven‐session intervention with the baseline 2D Scratch and the 3D simulated robots platform, respectively. Both used a visual block programming language and the same activities. To have quantitative and reliable results, a widely accepted CT test has been used, pre‐ and postintervention. Also qualitative feedback is presented. The obtained results show that using the platform with simulated 3D robots significantly helps when developing students' CT. With it, the students do learn basic programming concepts and reach higher scores in the CT test. This improvement applies to all CT‐analyzed concepts except in functions where the grades are maintained. Furthermore, students manage to master the activities on the 3D simulated robots platform, which reflects on the empowerment the platform has got in them. [ABSTRACT FROM AUTHOR] Copyright of Computer Applications in Engineering Education is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=178468770&lang=es&site=ehost-live"
