DOI,Abstract,Publisher,Author,Title,Publication Title,Volume,ISSN,Issue
10.4067/S0718-07642024000400013,"This research aimed to determine the level of influence of computational and visual thinking on the learning of mathematics in first-year students in the professional business management career. The methodology is quantitative and has a cross-sectional non-experimental design. The sample consists of 76 students from the accounting program, chosen probabilistically by clusters. A 20-item questionnaire is applied for the independent variables and a test to evaluate mathematics learning. The results show that 66.41% and 67.57% of the students have developed their computational and visual thinking, respectively, to a regular and acceptable level. Likewise, there is a high positive correlation of mathematics learning with computational and visual thinking. It is concluded that the use of computational and visual thinking during the performance of mathematical activities significantly influences the conceptual, procedural and attitudinal learning of mathematics. (English) [ABSTRACT FROM AUTHOR] Esta investigación tuvo como objetivo determinar el nivel de influencia del pensamiento computacional y visual en el aprendizaje de la matemática en estudiantes del primer año en la carrera profesional de gestión empresarial. La metodología es cuantitativa y tiene un diseño no experimental transversal. La muestra consiste en 76 estudiantes del programa de contabilidad, elegidos de manera probabilística por conglomerados. Se aplican un cuestionario de 20 ítems para las variables independientes y una prueba para evaluar el aprendizaje de matemáticas. Los resultados muestran que el 66.41% y el 67.57% del alumnado han desarrollado su pensamiento computacional y visual, respectivamente, a un nivel regular y aceptable. Asimismo, existe una correlación positiva alta del aprendizaje de la matemática con el pensamiento computacional y visual. Se concluye que, el uso del pensamiento computacional y visual durante la realización de actividades matemáticas influye de manera significativa en el aprendizaje conceptual, procedimental y actitudinal de la matemática. (Spanish) [ABSTRACT FROM AUTHOR] Copyright of Información Tecnológica is the property of Centro de Informacion Tecnologica (CIT) and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Centro de Informacion Tecnologica (CIT),"Vilchez-Guizado, Jesús; Ramón-Ortiz, Julia A.",Influencia del pensamiento computacional y visual en el aprendizaje de la matemática en estudiantes universitarios.,Información Tecnológica,35,07168756,4
10.3390/jintelligence12060055,"This study was to investigate the relationship between metacognition and the mathematical modeling skills of high school students, as well as the mediating role of computational thinking. A cluster sampling method was adopted to investigate 661 high school students, using the metacognition scale, computational thinking scale, and mathematical modeling skill test questions. The results showed that metacognitive knowledge and metacognitive monitoring had a direct and positive correlation with high school students' mathematical modeling skills. Additionally, the critical thinking dimension of computational thinking mediated the relationship between metacognitive knowledge, experience, monitoring, and mathematical modeling skills. These findings indicated that sufficient metacognition could improve the critical thinking of high school students' computational thinking and enhance their mathematical modeling skills. [ABSTRACT FROM AUTHOR] Copyright of Journal of Intelligence is the property of MDPI and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",MDPI,"Zhang, Jing; Zhou, Yu; Jing, Bin; Pi, Zhongling; Ma, Hongliang",Metacognition and Mathematical Modeling Skills: The Mediating Roles of Computational Thinking in High School Students.,Journal of Intelligence,12,20793200,6
10.1177/21582440241249897,"Problem-solving skills are an ability that must be cultivated to equip students with the skills needed to deal with today's increasingly complex and volatile environment. Computational thinking represents a new paradigm in problem-solving skills. After Wing proposed Computational Thinking as problem-solving skills in 2006, other scholars investigated this topic; nevertheless, the link between Computational Thinking and problem-solving has not been clearly discussed in previous studies. To uncover evidence for the connection between Computational Thinking and problem-solving skills, we conduct a systematic literature review of 37 papers collected from Web of Science database. The results indicate that (a) problem-solving is discussed in the 37 articles in the context of Computational Thinking, (b) the most frequently employed Computational Thinking stages in problem-solving skills are decomposition, pattern recognition, abstraction, and algorithm, (c) Computational Thinking is closely linked to problem-solving, and (d) Computational Thinking and problem-solving stages serve the same functions in solving problems. The results of this study will encourage the development of education research, particularly in the application of CTas a problem-solving tool in various real-life scenarios. [ABSTRACT FROM AUTHOR] Copyright of SAGE Open is the property of Sage Publications Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Sage Publications Inc.,"Ting-Ting Wu; Asmara, Andik; Yueh-Min Huang; Hapsari, Intan Permata",Identification of Problem-Solving Techniques in Computational Thinking Studies: Systematic Literature Review.,SAGE Open,14,21582440,2
10.1007/s11528-023-00841-1,"Educational robotics has been adopted to create interactive and engaging learning environments to develop computational thinking (CT) in K-12 learners. This study systematically examined 22 peer-reviewed empirical research articles on the use of educational robotics to develop CT in young learners (pre-kindergarten to 6th grade) published between 2012 and 2021. The findings revealed that using robotics activities to develop CT has mostly been studied in the formal education settings with the duration of robotics curricular activities ranging from 80 minutes to 24 hours. The five CT skills studied most often include Sequencing, Conditionals, Loops, Debugging, and Algorithmic Thinking. The different versions of LEGO Mindstorms are the most frequently adopted robotic kits in the examined studies. The most frequently adopted learning and instructional strategies in the robotics activities include collaborative learning, project-based learning, and embodied learning. This paper identified and discussed developmentally appropriated CT skills, robotics kits, and pedagogical approaches suitable for supporting CT development in young learners. The findings can guide educators and instructional designers for future robotics activity design and development endeavors. This paper also identified gaps in the current research and recommended directions for advancing research in adopting robotics to develop CT in young learners. [ABSTRACT FROM AUTHOR] Copyright of TechTrends: Linking Research & Practice to Improve Learning is the property of Springer Nature and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Springer Nature,"Ching, Yu-Hui; Hsu, Yu-Chang",Educational Robotics for Developing Computational Thinking in Young Learners: A Systematic Review.,TechTrends: Linking Research & Practice to Improve Learning,68,87563894,3
10.18421/TEM132-56,"Technological progress has brought about modifications in the educational process. This transformation has led to numerous technological innovations for supporting student learning, with smartphones being one of the prominent tools. Despite the widespread use, students have primarily used smartphones for online gaming and social media, leading to a decline in the effectiveness for educational purposes. Therefore, this study aimed to explore how students in electronics engineering education responded to a novel technology, augmented reality (AR), when integrated into the fundamental learning process, in order to maximize the utility of smartphones. A cross-sectional survey approach with a quantitative methodology comprising 101 students in the field of electronics engineering education in higher education institutions in Indonesia was adopted. Data were collected through a questionnaire, which was subsequently analyzed using the Structural Equation Model (SEM) method with SmartPLS 3 software. Additionally, this study used Fuzzy C-Means (FCM) clustering method to examine the influence of each cluster values on the others. The analytical results showed that Computational Thinking Skill (CTS) of students significantly impacted Actual System Use (ASU) of AR. Furthermore, perceived usefulness (PU) and perceived ease of use (PEU) of this technology played crucial roles as mediators in ASU of AR. [ABSTRACT FROM AUTHOR] Copyright of TEM Journal is the property of UIKTEN-Association for Information Communication Technology Education & Science and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",UIKTEN-Association for Information Communication Technology Education & Science,"Hidayat, Hendra; Mohd Isa, Mohd Rizal; Tanucan, Jem Cloyd M.; Harmanto, Dani; Anwar, Muhammad; Hanesman, Hanesman; Legiman, Legiman; Dewi, Fitrika Kumala",Analysis of Computational Thinking Skill Through Technology Acceptance Model Approach Using Augmented Reality in Electronics Engineering Education.,TEM Journal,13,22178309,2
10.1007/s10643-023-01475-x,"Researchers are increasingly calling for more computational thinking (CT) teaching tools and activities designed for young children. Considering young children's need to draw on their bodily experiences to learn abstract concepts, this study applied the embodied cognition perspective to design an unplugged (non-computer-based) toolkit with activities that foster CT. This study aimed to explore young children's experiences in unplugged activities. Specifically, children's perceptions about the activities were investigated, and their embodied interactions during the activities were analyzed to reveal how CT emerges as an embodied phenomenon. Results indicate that children had positive perceptions about the activities. In addition, young children's algorithmic thinking and debugging emerged most frequently. Furthermore, this study found that CT extended to both the unplugged toolkit and children's bodies and emerged in perception-action loops. This research provides insight into the instructional design of young children's CT and helps researchers understand how young children develop CT from an embodied cognition perspective. [ABSTRACT FROM AUTHOR] Copyright of Early Childhood Education Journal is the property of Springer Nature and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Springer Nature,"Hu, Wanqing; Huang, Ruiyan; Li, Yanyan",Young Children's Experience in Unplugged Activities About Computational Thinking: From an Embodied Cognition Perspective.,Early Childhood Education Journal,52,10823301,4
10.1371/journal.pone.0309412,"Computational thinking (CT) is a set of problem-solving skills with high relevance in education and work contexts. The present paper explores the role of key cognitive factors underlying CT performance in non-programming university students. We collected data from 97 non-programming adults in higher education in a supervised setting. Fluid intelligence, crystallized intelligence, and visuospatial ability were assessed using computerized adaptive tests; CT was measured using the Computational Thinking test. The direct and indirect effects of gender and visuospatial ability through fluid intelligence on CT were tested in a serial multiple mediator model. Fluid intelligence predicted CT when controlling for the effects of gender, age, and visuospatial ability, while crystallized intelligence did not predict CT. Men had a small advantage in CT performance when holding the effects of cognitive abilities constant. Despite its large correlation with gender and CT, visuospatial ability did not directly influence CT performance. Overall, we found that programming-naive computational thinkers draw on their reasoning ability that does not rely on previously acquired knowledge to solve CT problems. Visuospatial ability and CT were spuriously associated. Drawing on the process overlap theory we propose that tests of fluid intelligence and CT sample an overlapping set of underlying visuospatial processes. [ABSTRACT FROM AUTHOR] Copyright of PLoS ONE is the property of Public Library of Science and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Public Library of Science,"Aranyi, Gabor; Kovacs, Kristof; Kemény, Ferenc; Pachner, Orsolya; Klein, Balázs; Remete, Eszter P.",Computational thinking in university students: The role of fluid intelligence and visuospatial ability.,PLoS ONE,19,19326203,8
10.11594/ijmaber.05.03.05,"Computational thinking is increasingly acknowledged as important in education to support the development of problem-solving skills in mathematics. Pattern recognition plays a significant role in solving mathematical problems using computational thinking. This qualitative research explores how students recognize patterns when solving mathematical problems using computational thinking. The study adopts a case study approach, with 46 subjects then chooses two students from the Mathematics Education Study Program selected through purposive sampling. Data collection methods involve tests and interviews in August. The data is qualitatively analyzed, involving reduction, data presentation, and concluding the research findings. The results indicate that the subjects recognized a pattern related to determining the height of a triangle, which was one of the assigned questions. The pattern emerged as the subjects identified the problem, decomposed it, recognized known and unknown information, and identified the relationship between sub-problems and task information. The identified pattern is crucial in addressing the problem in the given task. [ABSTRACT FROM AUTHOR] Copyright of International Journal of Multidisciplinary: Applied Business & Education Research is the property of Future Science and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Future Science,"Taufik, Marhan; In'am, Akhsanul; Susanti, Reni Dwi",Computational thinking in mathematical problem solving: Pattern recognition.,International Journal of Multidisciplinary: Applied Business & Education Research,5,27745368,3
,"This quasi-experimental research aimed to identify the effect of using an educational software based on self-regulated learning in developing computational thinking skills in online learning for third-grade female students at Intermediate School. The population included third-grade female students in a selected school in Riyadh. The sample was selected purposefully and was (64) students, divided into two classes representing control and experimental groups. The research was conducted online using virtual classes due to the circumstances of the Corona pandemic (Covid-19). The control group learned with the teacher, and the experimental group learned independently through an educational software based on self-regulated learning designed by the researchers. The tool was a scale for computational thinking skills that was used after translating it and ensuring its validity and reliability. The research concluded, after analyzing the data using appropriate statistical methods, that there were statistically significant differences at the significance level of (0.05≥α) between the means of the two groups on the computational thinking skills scale in favor of the experimental group. Based on this result, the research recommends using self-regulated learning to develop computational thinking skills among female students, and it also recommends benefiting from educational programs in computer education. [ABSTRACT FROM AUTHOR] Copyright of Journal of Educational Sciences is the property of College of Education, King Saud University and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","College of Education, King Saud University",الهنوف ناصر الجر; حياة عبد الرحمن &#1575,أثر تطبيق برمجية تعليمية قائمة على التعلم المنظم ذاتيا في تنمية مهارات التفكير الحاسوبي في التعلم عبر الإنترنت.,Journal of Educational Sciences,36,16587863,1
10.33571/rpolitec.v20n39a14,"This conceptual approach to computational thinking seeks to support the development of proposals for its teaching from a critical perspective, which would imply moving forward from a process characterized by the instrumentalism of its training towards one that strengthens cognitive processes such as critical thinking, logical reasoning and problem resolution. Three categories of analysis were addressed, the first recognizes computational thinking as one of the fundamental digital skills for people's performance in a world characterized by technological advances. The second category explores an epistemological analysis of technology education and its importance in the construction of teaching proposals. Finally, the third category is built from the theoretical elements addressed, proposing some aspects that can support teaching proposals for computational thinking from the recognition as a digital skill framed within a different vision for technology education. (English) [ABSTRACT FROM AUTHOR] Esta aproximación conceptual sobre pensamiento computacional busca fundamentar el desarrollo de propuestas para su enseñanza desde una perspectiva crítica, lo que implicaría avanzar desde un proceso caracterizado por el instrumentalismo de su formación hacia uno que fortalezca procesos cognitivos como el pensamiento crítico, el razonamiento lógico y la resolución de problemas. Se abordaron tres categorías de análisis, la primera, reconoce el pensamiento computacional como una de las habilidades digitales fundamentales para el desempeño de las personas en un mundo caracterizado por los avances tecnológicos. La segunda categoría, explora un análisis epistemológico de la educación en tecnología y su importancia en la construcción de propuestas de enseñanza. Finalmente, la tercera categoría se construye a partir de los elementos teóricos abordados, proponiendo algunos aspectos que pueden fundamentar propuestas de enseñanza del pensamiento computacional desde el reconocimiento como una habilidad digital enmarcada dentro de una visión distinta para una educación en tecnología. (Spanish) [ABSTRACT FROM AUTHOR] Copyright of Revista Politécnica is the property of Politechnico Colombian Jaime Isaza Cadavid and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Politechnico Colombian Jaime Isaza Cadavid,"Bravo-Preciado, Wilder; Armando Castiblanco-Carrasco, Rodulfo; Pascuas-Rengifo, Yois",PERSPECTIVA CRÍTICA PARA LA ENSEÑANZA DEL PENSAMIENTO COMPUTACIONAL.,Revista Politécnica,20,19002351,39
