ISSN,Volume,DOI,Issue,Publisher,Abstract,Publication Title,Title,Author
18657923,18,10.3991/ijim.v18i13.47711,13,International Journal of Interactive Mobile Technologies,"In the rapidly evolving digital age, the need for computational thinking (CT) skills is answered with the introduction of CT-Mobile, an innovative Android-based graphic design application. The app integrates basic computational concepts with graphic design principles, providing a unique platform for users to improve problem-solving, algorithmic thinking, and logical reasoning skills. This study used a research and development (R&D) approach with the 4-D Model (define, design, develop, and disseminate) as a guide. The validity test with experts categorized CT-Mobile as ""valid"" with values of 0.85 and 0.88 from media experts and material experts. The practicality of this application was rated as ""very practical"" by teachers (89.67%) and students (86.34%). These findings confirm the significant benefits of CT-Mobile in graphic design learning, both for educators and students. The analysis showed a positive impact on users' CT ability, reflected by improved problem-solving efficiency and a deeper understanding of algorithmic processes. This study provides valuable insights into the relationship between mobile application development, graphic design education, and the development of CT skills. CT-Mobile emerges as a promising tool to bridge technology, creativity, and cognitive skill development in the digital age. [ABSTRACT FROM AUTHOR] Copyright of International Journal of Interactive Mobile Technologies is the property of International Journal of Interactive Mobile Technologies and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",International Journal of Interactive Mobile Technologies,CT-Mobile: Enhancing Computational Thinking via Android Graphic Design App.,"Hakiki, Muhammad; Halomoan; Fadli, Radinal; Hidayah, Yayuk; Zunarti, Rita; Yanti, Vivi Yosefri"
20763417,14,10.3390/app14125261,12,MDPI,"Featured Application: Altogether, UniCTCheck, a method for measuring the main components of computational thinking of CS university students, was employed by using the following two instruments: firstly, a web application, CTScore, to precisely measure seven of the main components of computational thinking (pattern recognition, creative thinking, algorithmic thinking, problem solving, critical thinking, decomposition, and abstraction); secondly, a psychometric scale, CTProg, to measure CT programming concepts skills (basic directions and sequences, conditionals, loops, functions, and data structures). The measurement of computational thinking ability among computer science (CS) university students is of paramount importance. This study introduces UniCTCheck, a novel method designed to assess the main components of computational thinking in CS students. Utilising two key instruments, namely, the web application CTScore and the psychometric scale CTProg, this research aims to precisely evaluate seven core components of computational thinking and six programming concepts skills essential for CS students. The study, conducted at Rey Juan Carlos University and Atlantic Technological University Galway, involved a diverse sample of students from different year levels and programme specialisations. Through a rigorous research design, including sampling strategies and data collection tools, this study seeks to address critical research questions related to the measurement of variations in students' computational thinking and programming skills by gender, university level, and location. By shedding light on the significance of computational thinking and programming in the educational realm, this research contributes to the existing literature and underscores the essential role of computational skills in the modern era. [ABSTRACT FROM AUTHOR] Copyright of Applied Sciences (2076-3417) is the property of MDPI and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Applied Sciences (2076-3417),Computational Thinking Measurement of CS University Students.,"Hijón-Neira, Raquel; Pizarro, Celeste; French, John; Palacios-Alonso, Daniel; Çoban, Emre"
18657923,18,10.3991/ijim.v18i11.49097,11,International Journal of Interactive Mobile Technologies,"This study focuses on investigating the integration of project-based learning with computational thinking (PjBL-CT) skills to enhance students' proficiency in learning mobile programming. The findings of the model provide an evaluation of cognitive aspects, affective aspects in the form of 4C soft skills, and psychomotor aspects. To measure the effectiveness of the model, we will test the differences in the quality of student learning outcomes between two groups: the control group and the experimental group. The cognitive test results showed a value of 80.85 for the experimental class and 73.21 for the control class. For the assessment of soft skill 4C, student creativity aspects are superior to other aspects. Whereas for aspects of enhancing the project's value, an important finding from the results obtained is the signifi- cant improvement in the quality of learning by incorporating computational thinking into the problem-based learning (PBL) model. [ABSTRACT FROM AUTHOR] Copyright of International Journal of Interactive Mobile Technologies is the property of International Journal of Interactive Mobile Technologies and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",International Journal of Interactive Mobile Technologies,Implementation of Project-Based Learning Computational Thinking Models in Mobile Programming Courses.,"Ismael; Jalinus, Nizwardi; Putra, Rusnardi Rahmat"
24144088,8,10.3390/mti8050039,5,MDPI,"Computational thinking (CT) has garnered significant interest in both computer science and education sciences as it delineates a set of skills that emerge during the problem-solving process. Consequently, numerous assessment instruments aimed at measuring CT have been developed in the recent years. However, a scarce part of the existing CT measurement instruments has been dedicated to early school ages, and few have undergone rigorous validation or reliability testing. Therefore, this work introduces a new instrument for measuring CT in the early grades of elementary education: the Computational Thinking Test for Children (CTTC). To this end, in this work, we provide the design and validation of the CTTC, which is constructed around spatial, sequential, and logical thinking and encompasses abstraction, decomposition, pattern recognition, and coding items organized in five question blocks. The validation and standardization process employs the Kuder–Richardson statistic (KR-20) and expert judgment using V-Aiken for consistency. Additionally, item difficulty indices were utilized to gauge the difficulty level of each question in the CTTC. The study concludes that the CTTC demonstrates consistency and suitability for children in the first cycle of primary education (encompassing the first to third grades). [ABSTRACT FROM AUTHOR] Copyright of Multimodal Technologies & Interaction is the property of MDPI and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Multimodal Technologies & Interaction,Design and Validation of a Computational Thinking Test for Children in the First Grades of Elementary Education.,"Aristizábal Zapata, Jorge Hernán; Gutiérrez Posada, Julián Esteban; Diago, Pascual D."
20888708,14,10.11591/ijece.v14i2.pp2088-2099,2,Institute of Advanced Engineering & Science,"Computational thinking skills (CTS) play a crucial role across diverse domains, involving a thinking process that allows the execution of solutions by information processing agents. Measuring the level of CTS becomes essential to ensure that administrators effectively leverage technology. However, finding suitable instruments to measure and justify CTS levels in administration can be challenging. The selection of situational judgement test (SJT) is supported by its validity and reliability in assessing attributes, including professionalism. The instrument's development includes face validity, discriminant validity (using Pearson correlation and Cronbach's alpha), and exploratory factor analysis (EFA). The study involved 111 undergraduate administration students from various Indonesian universities, and data were collected in 2023. Following a discriminant validity analysis, ten items were eliminated, while 23 met the criteria with p<0.050 and r>0.185. Subsequently, EFA yielded 16 items forming seven components, covering algorithmic thinking, problem-solving, technology literacy, problem abstraction, problem reformulation, data management in administration technology, and administrative data presentation with loading factor variations (0.421-0.868). The final instrument, consisting of 16 valid items and seven components, effectively evaluates the level of administrator computational thinking skills (ACTS) among administration students. [ABSTRACT FROM AUTHOR] Copyright of International Journal of Electrical & Computer Engineering (2088-8708) is the property of Institute of Advanced Engineering & Science and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",International Journal of Electrical & Computer Engineering (2088-8708),Situational judgment test measures administrator computational thinking with factor analysis.,"Indrawati, Cicilia Dyah Sulistyaningrum; Permansah, Sigit; Ninghardjanti, Patni; Subarno, Anton; Winarno; Rusmana, Dede"
22558942,12,10.22364/bjmc.2024.12.2.05,2,University of Latvia,"Many European countries have revised their curricula in recent years, introducing basic computer science concepts. This has paved the way for developing students' computational thinking (CT) skills. Despite increasing uptake, several issues and challenges are emerging for the effective integration of CT skills in compulsory education. The purpose of this paper is to examine the rationale for integrating CT skills in the European primary and lower secondary education curricula and the enablers and barriers to teaching and assessing these skills. A wide range of evidence was collected through three multiple-case studies involving 40 semi-structured interviews with experts, policymakers, school leaders and teachers, and 10 focus groups with students. Thematic analysis was conducted on 3,424 excerpts through NVivo to identify recurring codes and themes regarding implementation of CT skills within the curriculum in nine European countries and to explore commonalities and patterns across the cases. A common enabler is adopting appropriate measures for creating guidelines, learning materials and a large-scale professional development program. On the barrier side, the lack of qualified teachers, lack of quality materials and the challenges related to large-scale upskilling are shared. [ABSTRACT FROM AUTHOR] Copyright of Baltic Journal of Modern Computing is the property of University of Latvia and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Baltic Journal of Modern Computing,Fostering Computational Thinking in Compulsory Education in Europe: A Multiple Case Study.,"DAGIENĖ, Valentina; KAMPYLIS, Panagiotis; GIANNOUTSOU, Nikoleta; ENGELHARDT, Katja; MALAGOLI, Chiara; BOCCONI, Stefania"
25281410,9,10.17509/ijost.v9i1.67258,1,Indonesian Journal of Science & Technology,"The research problem centered around the need to enhance students' computational thinking (CT) ability, which is crucial for their success in the present and future. This study aims to examine the efficacy of Augmented Reality (AR) in improving the CT abilities of seventh-grade junior high school students. The study utilized a quasi-experimental design with a control group and an experimental group to meet the research aims. The control group was provided with conventional mathematical instruction through established teaching methods, while the experimental group was exposed to mathematics learning enhanced by AR media. The study involved 160 students from four junior high schools located in one of the cities in Indonesia. A five-question CT ability test was employed as the research instrument. The mean difference test was used to analyze the data and compare the performance of the control and experimental groups. The research findings indicated that the effective application of AR media significantly enhanced the CT skills of seventhgrade adolescents in middle school. The results aid in creating new teaching approaches and emphasize the possibilities of AR technology in math education. [ABSTRACT FROM AUTHOR] Copyright of Indonesian Journal of Science & Technology is the property of Indonesian Journal of Science & Technology and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Indonesian Journal of Science & Technology,"Augmented Reality for Cultivating Computational Thinking Skills in Mathematics Completed with Literature Review, Bibliometrics, and Experiments for Students.","Angraini, Lilis Marina; Susilawati, Aay; Noto, Muchamad Subali; Wahyuni, Reni; Andrian, Dedek"
21924880,14,10.3991/ijep.v14i5.49995,5,International Society of Engineering Education (IGIP),"This study aims to reveal the role of one of the artificial intelligence (AI) techniques, ""ChatGPT,"" in improving the educational process by following it as a teaching method for the subject of automatic analysis for students of the Chemistry Department and the subject of computer security for students of the Computer Science Department, from the fourth stage at the College of Education for Pure Science (Ibn Al-Haitham), and its impact on their computational thinking to have a good educational environment. The experimental approach was used, and the research samples were chosen intentionally by the research community. Research tools were prepared, which included a scale for CT that included 12 items and the achievement test in both scientific subjects for departments as the second tool. They reached a lot of conclusions. Accordingly, a set of recommendations were proposed. [ABSTRACT FROM AUTHOR] Copyright of International Journal of Engineering Pedagogy is the property of International Society of Engineering Education (IGIP) and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",International Journal of Engineering Pedagogy,The Impact of Artificial Intelligence on Computational Thinking in Education at University.,"Ameen, Linda Talib; Yousif, Maysam Raad; Jasim Alnoori, Najwa Abdulmunem; Majeed, Ban Hassan"
29947111,1,,5,International Technology & Engineering Educators Association,"The article discusses the integration of robotics into early childhood education to enhance computational thinking (CT) skills and promote Science, Technology, Engineering, and Mathematics (STEM) knowledge. Topics discussed such as the role of robotics in early STEM education, practical examples of integrating robotics into language and math activities, and challenges and solutions for implementing robotics in kindergarten classrooms.",Technology & Engineering Education (TEE),Early Childhood Robotics: Igniting Innovation and Computational Thinking.,"YUJIRO FUJIWARA; EBARLE, AUDREY"
26734591,55,10.3390/engproc2023055040,,MDPI,"As information explosion and algorithms are proliferated in the digital age, computational thinking becomes more critical. Nevertheless, most activities that promote computational thinking are always presented in a programming or block language, which tends to horrify students. This study aimed to develop a series of non-programmed, computational-thinking training activities to demonstrate if they improve students' computational thinking skills without writing code. In the meantime, it is checked whether students' learning styles influence their outcomes. After an investigation consisting of a 16 h gamified learning session, we observed that students' computational thinking skills improved overall. Furthermore, the initial learning style of the students influenced the effect of different dimensions of computational thinking in the learning procedures. [ABSTRACT FROM AUTHOR] Copyright of Engineering Proceedings is the property of MDPI and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Engineering Proceedings,Effect of Learning Style on Non-Programmed Computational Thinking Activities †.,"Chen, Yen-Yun; Su, Shih-Wen; Chen, Li-Xian; Liao, Chia-Hung; Yuan, Shyan-Ming"
